"","name","r1","r2","r3","r4","r5","r6","rank"
"118","Koffing",0.939393586258144,6.0504165497644e-06,1.07012760362645e-14,0.0605997278240986,2.4552276967247e-09,6.33045968978709e-07,1
"119","Weezing",3.32982737992247e-06,5.53849781460826e-19,0.70612440515295,0.28582712384934,4.04551804882731e-05,0.00800468598984221,3
"120","Rhyhorn",0.962015490807581,1.17828674159426e-10,9.34625051273883e-14,0.0379749533917887,9.47072539472047e-06,8.49573136530423e-08,1
"121","Rhydon",0.00196144075138957,1.3232706684524e-24,2.54920426616353e-46,0.99787134833717,9.51895682079059e-08,0.000167115721871923,4
"122","Chansey",3.3229753062173e-41,5.4743388799357e-76,0,1,2.05194656457639e-95,5.08038918487148e-18,4
"123","Tangela",0.000377914595443701,1.43689252564231e-17,0.000839178855067045,0.998749411223939,4.45842898684846e-07,3.30494826510418e-05,4
"124","Kangaskhan",3.92989768318292e-08,1.02444144159987e-09,1.13746560721963e-42,0.0538557179736528,0.857163373642473,0.0889808680604556,5
"125","KangaskhanMega Kangaskhan",2.37748926581355e-15,2.01529997015133e-23,2.85538843402794e-45,0.0208929409628332,0.0127422229696732,0.966364836067491,6
"126","Horsea",0.860297441777027,0.000321505466229888,1.6254830206487e-31,0.139381048207047,1.04413657737508e-14,4.54968553925956e-09,1
"127","Seadra",0.00165475957189495,2.39087712351828e-08,0.0117867715105675,0.985374292854086,0.000422752416027466,0.000761399738653225,4
"128","Goldeen",0.269190538665903,0.727591114469601,3.61123331748865e-10,0.00321738654849842,7.50885169332546e-09,9.52446021979111e-07,2
"129","Seaking",2.35130052669399e-07,0.000101184851623337,2.54597412668052e-07,0.0309353775106578,0.955713073866857,0.013249874043397,5
"130","Staryu",0.00494719869832739,0.978518909426114,2.60518784772721e-26,0.0165292969581572,7.4107393690205e-13,4.59491666045138e-06,2
"131","Starmie",1.16775511988165e-12,1.04839135768931e-11,0.872595156954398,0.0041242527238332,0.041561562497438,0.0817190278126792,3
"132","Mr. Mime",6.22747086467076e-20,3.0726775680228e-17,1.44889795376034e-16,0.349028221606329,2.19167725756645e-07,0.650971559225945,6
"133","Scyther",7.53787076533937e-08,6.01011544907166e-08,0.110537322582803,0.00659403128721991,0.782553998346867,0.100314512303249,5
"134","Jynx",4.55447224730474e-15,5.66923570673401e-13,0.249589338964896,0.235746938509066,1.28656441295313e-06,0.514662435961054,6
"135","Electabuzz",7.32586478112331e-12,1.06236045926006e-07,0.948882690002352,0.00479433754106628,0.0113090079765773,0.0350138582366325,3
"136","Magmar",3.59865098247829e-12,4.3991725856213e-09,0.915788377621747,0.0109354474304463,0.0229763814976039,0.0502997890474317,3
"137","Pinsir",2.76758602312359e-05,7.79816470013532e-13,0.882685768612219,0.0513384396686011,0.0127720567874498,0.0531760590707192,3
"138","PinsirMega Pinsir",2.33192636768294e-12,9.95032827503856e-31,0.001468439173027,0.0086099298514422,1.09180391275686e-07,0.989921521792808,6
"139","Tauros",4.63341252152318e-05,2.86397164647952e-09,0.00097336771133578,0.0264734840025241,0.840071730792032,0.132435080504922,5
"140","Magikarp",0.984421671349929,2.08359672657697e-09,3.69677783642562e-53,0.0155783264089016,5.24595578489663e-24,1.57572952380137e-10,1
"141","Gyarados",4.64783140065799e-14,1.905240365047e-16,2.31299428143595e-27,0.018771292612689,0.576145448201408,0.405083259185856,5
"142","GyaradosMega Gyarados",1.17590539118384e-26,2.78185794509213e-43,6.11349348983655e-36,0.011413982201388,5.30940901181253e-07,0.988585486857711,6
"143","Lapras",1.06112095183132e-15,3.64584640017576e-18,6.80041386084796e-108,0.947804002883258,0.000160534542084882,0.0520354625746563,4
"144","Ditto",0.113292950722923,0.885138575153479,6.45813638849642e-09,0.00156842174761752,1.15671325246513e-11,4.5906276282292e-08,2
"145","Eevee",0.00201034049133235,0.993684821133021,0.00245947334263297,0.00183999471201051,3.43309338749925e-08,5.33599006885372e-06,2
"146","Vaporeon",1.02085240891311e-18,1.8485804026482e-19,2.66825703424809e-108,0.951156610179004,4.34508719304286e-06,0.0488390447338029,4
"147","Jolteon",1.04058498084515e-16,2.02224673077021e-12,0.251120163882954,0.00427717596929107,0.0126688663999309,0.731933793745802,6
"148","Flareon",4.68948696565111e-18,1.26039420592287e-18,0.000605118150396451,0.0633676742316744,0.00650180768084657,0.929525399937083,6
"149","Porygon",3.60763968161269e-07,0.000260921087169857,0.975729414686605,0.020083608281079,0.00358206503611969,0.000343630145058032,3
"150","Omanyte",0.00445076708621049,3.26086662110325e-09,9.23185207322197e-19,0.995513863398553,1.63015071833777e-10,3.5366091354727e-05,4
"151","Omastar",1.12357850745099e-09,7.93294650295649e-26,0.0127632743699113,0.971571378599774,2.24221029787223e-06,0.0156631036964379,4
"152","Kabuto",0.938819287339278,3.25763105349237e-05,2.61161533319732e-27,0.0611470149116499,9.5027156221879e-11,1.12134350992151e-06,1
"153","Kabutops",1.80813153214604e-05,1.77903241601233e-13,0.927321759103712,0.0534677395065739,0.00144663779066449,0.0177457822835505,3
"154","Aerodactyl",3.2142230999549e-08,1.09498083544066e-05,5.43504778449708e-07,0.00368781735259593,0.818125224902547,0.178175432289493,5
"155","AerodactylMega Aerodactyl",1.81243106674449e-16,5.8682166540422e-19,6.64203908765269e-10,7.43235880979561e-05,0.0190886708639935,0.980837004883705,6
"156","Snorlax",6.14384533758356e-23,2.6863054033204e-29,1.69524552352655e-227,0.999608574861953,4.27283908033417e-16,0.000391425138046236,4
"157","Articuno",3.46631866267265e-24,6.0050067307729e-30,5.29498184050455e-25,0.0582338166597747,0.0368952251797949,0.90487095816043,6
"158","Zapdos",1.89608830062136e-19,4.35757608921623e-22,3.0718680340512e-20,0.00246489863984982,0.890849388045086,0.106685713315064,5
"159","Moltres",5.21104761546794e-18,9.83646599011512e-23,6.65335459384268e-20,0.00584068465137963,0.899738864359185,0.0944204509894353,5
"160","Dratini",0.0774745230440157,0.920550391979495,3.24931877891842e-14,0.00197501362243717,1.86879948287191e-12,7.13521504514077e-08,2
"161","Dragonair",8.9158105423082e-06,0.00878614492434039,0.982665923907178,0.00548924456034772,0.00270362115273797,0.000346149644853988,3
"162","Dragonite",3.68440296656277e-18,8.25145924495938e-26,1.95679238705515e-22,0.0203749443011504,0.0952781129651423,0.884346942733707,6
"163","Mewtwo",1.24868798902504e-28,4.83575547456628e-38,9.9165054967353e-49,0.00036255560312499,0.00876184029776526,0.99087560409911,6
"164","MewtwoMega Mewtwo X",1.86638208546968e-36,2.34118183839784e-61,4.00754132920952e-55,4.32964071591719e-06,1.84209913057721e-11,0.999995670340863,6
"165","MewtwoMega Mewtwo Y",6.05476101240225e-53,4.74792706136059e-72,1.20885033285319e-59,2.41202417938147e-07,6.28010339965126e-09,0.999999752517479,6
"166","Mew",3.2302414216314e-18,3.16101595356409e-24,1.34669543195844e-35,0.0243683888901724,0.176137629005247,0.799493982104581,6
